customer_state,product_category_name_english,total_revenue,items_sold
SP,bed_bath_table,472238.07,5157
SP,health_beauty,453916.48,4125
SP,watches_gifts,421268.6,2232
SP,sports_leisure,374975.89,3574
SP,computers_accessories,340933.97000000003,3098
SP,furniture_decor,277597.46,3452
SP,housewares,269656.6,3184
SP,auto,209231.14,1715
SP,cool_stuff,208602.89,1339
SP,toys,179898.56,1673
RJ,watches_gifts,174895.01,846
SP,perfumery,162425.7,1444
MG,health_beauty,154324.15,1064
SP,baby,151003.33,1230
SP,garden_tools,148146.58,1532
RJ,bed_bath_table,144251.79,1605
RJ,health_beauty,140236.35,1028
MG,bed_bath_table,128760.49,1322
MG,watches_gifts,121622.03,626
RJ,sports_leisure,120255.01,1015
RJ,computers_accessories,117079.86,976
MG,sports_leisure,109949.81,945
MG,computers_accessories,109078.38,981
SP,office_furniture,106707.96,655
SP,telephony,99026.97,1612
RJ,furniture_decor,95538.54000000001,1057
SP,pet_shop,88485.89,889
SP,stationery,87663.64,1044
RJ,cool_stuff,79944.31,501
MG,furniture_decor,77479.11,934
MG,housewares,74910.8,814
RJ,housewares,74080.42,845
RJ,toys,72654.04,570
MG,auto,71514.15,499
RJ,garden_tools,71076.86,634
MG,cool_stuff,69900.74,454
SP,small_appliances,68095.46,295
SP,musical_instruments,67625.41,260
RJ,auto,64400.51,431
SP,computers,61993.270000000004,59
RS,bed_bath_table,59906.96,610
MG,garden_tools,59728.62,602
SP,construction_tools_construction,59559.53,422
SP,consoles_games,59481.65,472
PR,sports_leisure,57653.3,476
PR,watches_gifts,57287.2,299
MG,toys,57080.4,488
SP,luggage_accessories,56677.01,451
SP,fashion_bags_accessories,56099.5,841
RS,furniture_decor,53774.9,555
PR,health_beauty,53730.23,414
RJ,perfumery,52992.36,439
RS,computers_accessories,52380.04,481
SP,electronics,51567.58,994
RS,sports_leisure,51286.72,467
RS,health_beauty,50596.19,427
BA,health_beauty,49955.12,340
PR,furniture_decor,49202.11,516
RS,watches_gifts,47837.73,230
MG,baby,47510.13,366
MG,perfumery,47316.25,396
BA,watches_gifts,45631.52,225
PR,bed_bath_table,45396.67,463
RJ,office_furniture,45212.32,301
RS,cool_stuff,44042.49,259
PR,computers_accessories,43486.34,383
SC,sports_leisure,41579.03,356
RJ,baby,41115.71,347
PE,health_beauty,40685.01,233
SC,health_beauty,39260.73,304
RS,housewares,38365.95,429
PR,cool_stuff,37452.32,214
BA,sports_leisure,37010.06,286
RJ,telephony,36328.35,417
SC,computers_accessories,36058.43,309
MG,telephony,34020.27,474
SP,home_appliances,33608.8,341
SC,watches_gifts,33230.33,184
RS,garden_tools,33156.71,281
SP,home_construction,33154.73,264
BA,computers_accessories,32635.83,250
DF,watches_gifts,32292.27,146
SP,home_appliances_2,32284.87,87
MG,pet_shop,31987.34,250
SC,furniture_decor,31861.14,347
CE,health_beauty,31544.5,162
GO,watches_gifts,31486.93,142
RJ,stationery,31215.93,319
PR,housewares,31162.61,336
PE,watches_gifts,30894.88,163
SC,bed_bath_table,30889.12,326
DF,health_beauty,29542.82,242
BA,auto,29112.71,155
CE,watches_gifts,29025.35,134
RJ,small_appliances,29019.41,85
RJ,home_appliances_2,28822.51,45
RS,toys,28674.56,208
SC,cool_stuff,28498.8,159
MG,office_furniture,28150.24,167
ES,watches_gifts,28074.0,149
GO,health_beauty,27971.3,227
SC,auto,27089.99,178
SP,home_confort,26949.84,201
PR,auto,26848.1,228
SC,housewares,26674.56,257
RS,baby,25955.03,205
SP,agro_industry_and_commerce,25864.55,94
RS,auto,25741.170000000002,184
RJ,electronics,25525.21,430
BA,bed_bath_table,24949.53,254
RJ,pet_shop,24756.21,211
MG,musical_instruments,24679.69,77
MG,stationery,24506.7,269
BA,garden_tools,23974.510000000002,177
DF,computers_accessories,23853.44,156
SC,garden_tools,23779.34,183
PA,health_beauty,23545.84,105
SP,kitchen_dining_laundry_garden_furniture,23361.87,137
PR,toys,23227.21,202
BA,furniture_decor,23121.170000000002,247
MG,fashion_bags_accessories,23052.11,259
MG,luggage_accessories,22651.66,182
ES,bed_bath_table,22589.65,223
SP,furniture_living_room,22583.24,200
DF,sports_leisure,22467.28,218
SP,air_conditioning,22358.14,136
GO,bed_bath_table,22285.61,231
RJ,computers,21931.45,21
PA,watches_gifts,21635.82,73
PR,baby,21254.55,158
BA,computers,21043.99,25
MG,computers,20973.0,19
MG,electronics,20811.49,295
PR,garden_tools,20608.95,207
RJ,construction_tools_construction,20563.25,119
BA,telephony,20162.55,241
BA,cool_stuff,20142.26,140
RS,perfumery,20122.45,151
ES,sports_leisure,20086.2,173
RJ,musical_instruments,20062.26,77
ES,health_beauty,20038.5,163
MG,consoles_games,19582.97,130
GO,sports_leisure,19231.55,163
SP,books_general_interest,19152.05,223
PE,sports_leisure,18245.510000000002,140
RS,telephony,18218.63,283
SP,industry_commerce_and_business,18191.7,127
SP,construction_tools_lights,17894.16,141
RJ,fixed_telephony,17890.79,33
MG,construction_tools_construction,17730.69,120
SP,audio,17518.59,144
GO,cool_stuff,17492.22,93
DF,auto,17258.54,106
MG,small_appliances,17143.19,64
SC,baby,16878.47,113
BA,housewares,16585.98,154
RJ,furniture_living_room,16520.36,115
RJ,consoles_games,16403.55,136
SP,small_appliances_home_oven_and_coffee,16285.4,33
RJ,fashion_bags_accessories,16256.8,199
DF,bed_bath_table,16147.720000000001,206
PR,perfumery,15833.32,153
PB,health_beauty,15692.08,76
RJ,air_conditioning,15596.3,67
SC,toys,15563.35,118
RS,small_appliances,15317.7,45
SP,food,15289.82,283
MT,health_beauty,15241.8,89
BA,baby,15071.63,94
GO,garden_tools,15033.47,117
MT,watches_gifts,15006.91,61
PR,office_furniture,14827.44,88
GO,housewares,14733.300000000001,129
SP,art,14613.04,91
RJ,luggage_accessories,14597.68,119
ES,computers_accessories,14424.18,150
BA,toys,14350.14,113
PE,cool_stuff,14245.52,79
BA,office_furniture,14225.83,92
SP,construction_tools_safety,14098.57,64
GO,computers_accessories,13828.33,123
SC,perfumery,13821.65,116
RN,health_beauty,13728.98,57
PR,telephony,13273.279999999999,250
PB,watches_gifts,13102.98,41
SP,fixed_telephony,12989.93,111
PE,computers_accessories,12982.91,106
ES,furniture_decor,12912.72,145
DF,housewares,12842.46,153
RS,stationery,12750.02,147
AL,health_beauty,12681.26,62
MA,health_beauty,12668.279999999999,88
PA,sports_leisure,12298.65,81
MA,computers_accessories,12152.83,67
MG,agro_industry_and_commerce,12126.49,21
DF,cool_stuff,12095.99,78
GO,furniture_decor,12032.0,123
DF,furniture_decor,12020.81,151
CE,cool_stuff,11925.42,49
ES,auto,11831.37,84
CE,auto,11806.3,58
AL,watches_gifts,11605.02,35
CE,computers_accessories,11551.97,87
ES,housewares,11509.46,112
PA,computers_accessories,11391.41,86
DF,toys,11336.86,95
GO,auto,11309.26,98
MS,health_beauty,11231.58,64
PR,stationery,11053.09,126
PE,auto,10934.36,79
ES,cool_stuff,10909.83,66
RS,pet_shop,10897.71,97
MS,housewares,10861.74,39
DF,small_appliances,10846.06,22
RS,home_appliances_2,10800.18,12
DF,computers,10786.99,7
PE,telephony,10559.96,127
ES,garden_tools,10491.63,102
SC,telephony,10471.62,169
ES,toys,10458.460000000001,96
PR,small_appliances,10458.289999999999,41
CE,sports_leisure,10360.72,91
RS,office_furniture,10226.58,66
PR,musical_instruments,10210.59,36
PI,health_beauty,10205.2,53
MT,auto,10087.42,54
RN,watches_gifts,10052.42,48
PI,auto,10017.38,33
GO,perfumery,9977.88,88
SP,furniture_bedroom,9946.06,52
PA,baby,9882.75,44
DF,perfumery,9800.7,85
SP,market_place,9767.73,115
MS,computers_accessories,9738.8,62
BA,perfumery,9723.01,81
MA,watches_gifts,9712.99,59
BA,musical_instruments,9630.4,32
GO,baby,9500.07,52
RJ,audio,9360.35,58
SC,office_furniture,9299.17,60
DF,garden_tools,9247.14,60
PR,construction_tools_construction,9200.82,51
PR,electronics,9177.11,177
PE,bed_bath_table,9143.62,90
MS,sports_leisure,9097.19,74
PE,furniture_decor,9019.380000000001,94
SC,pet_shop,9018.0,85
ES,telephony,8973.45,114
SP,drinks,8878.17,205
MT,computers_accessories,8873.15,55
PA,furniture_decor,8868.06,69
RJ,home_appliances,8795.16,79
SC,stationery,8658.01,93
DF,baby,8621.37,69
PR,small_appliances_home_oven_and_coffee,8590.0,8
RS,computers,8546.89,8
RJ,agro_industry_and_commerce,8540.98,27
CE,furniture_decor,8507.34,83
MA,sports_leisure,8428.87,65
PE,toys,8411.4,61
SE,health_beauty,8396.67,38
MG,home_construction,8383.4,63
RS,electronics,8378.81,165
ES,baby,8346.05,61
CE,perfumery,8302.84,55
SC,electronics,8282.460000000001,123
RS,consoles_games,8217.49,58
ES,fixed_telephony,8213.78,9
PR,pet_shop,8209.24,89
RS,fashion_bags_accessories,8172.47,80
MG,home_confort,8097.59,57
ES,computers,8058.0,3
PA,telephony,8037.41,77
RJ,home_confort,7954.87,61
PE,computers,7946.98,9
PR,fashion_bags_accessories,7906.38,118
SC,small_appliances,7902.04,27
SP,signaling_and_security,7895.2300000000005,94
MT,garden_tools,7848.58,51
GO,toys,7809.07,81
CE,toys,7793.3099999999995,64
PI,watches_gifts,7736.18,41
MG,furniture_living_room,7678.38,47
MT,sports_leisure,7671.03,73
AL,computers_accessories,7605.61,39
PA,auto,7571.57,49
RS,home_construction,7497.72,43
SP,costruction_tools_garden,7448.9400000000005,96
RS,musical_instruments,7436.73,31
SC,musical_instruments,7406.45,25
RJ,kitchen_dining_laundry_garden_furniture,7358.34,46
MT,cool_stuff,7343.62,45
BA,stationery,7196.15,75
PB,computers_accessories,7195.08,53
SP,books_technical,7169.79,111
MS,auto,7142.65,26
PB,computers,7128.0,4
MT,bed_bath_table,7125.58,70
CE,computers,7096.79,6
